Ablabesmyia.longistyla,Ablabesmyia.monilis,Ablabesmyia.phatta,Acroloxus.lacustris,Aeshna.grandis,Agraylea,Agrypnia,Agrypnia.obsoleta,Ameletus.inopinatus,Argyroneta.aquatica,Asellus.aquaticus,Athripsodes,Athripsodes.aterrimus,Athripsodes.cinereus,Bathyomphalus.contortus,Bithynia.tentaculata,Caenis.horaria,Caenis.luctuosa,Capnia,Centroptilum.luteolum,Chaoborus.flavicans,Cladopelma,Cladotanytarsus,Clinotanypus.nervosus,Cloeon,Coenagrion,Conchapelopia,Cordulia.aenea,Corynoneura,Cricotopus,Cryptochironomus,Cyrnus.flavidus,Cyrnus.insolutus,Cyrnus.trimaculatus,Demicryptochironomus.vulneratus,Dendrocoelum.lacteum,Dicranota,Dicrotendipes,Diura.nanseni,Ecnomus.tenellus,Endochironomus,Ephemera.vulgata,Epoicocladius.ephemerae,Erpobdella.octoculata,Erythromma.najas,Gammarus.pulex,Glossiphonia,Glossiphonia.complanata,Glyptotendipes,Gyraulus.acronicus,Gyraulus.albus,Gyraulus.crista,Gyrinus,Haliplus,Helobdella.stagnalis,Heterotanytarsus.apicalis,Heterotrissocladius.grimshawi,Heterotrissocladius.marcidus,Hippeutis.complanatus,Holocentropus,Holocentropus.dubius,Hydracarina,Hydroptila,Hygrotus,Ilybius,Kageronia.fuscogrisea,Lauterborniella.agrayloides,Lepidostoma.hirtum,Leptophlebia.marginata,Leptophlebia.vespertina,Limnephilus,Micronecta,Microtendipes.pedellus,Molanna.angustata,Molannodes.tinctus,Mystacides,Mystacides.azurea,Nebrioporus.depressus,Nematoda,Nemotaulius.punctatolineatus,Nemoura,Nemoura.avicularis,Nemoura.cinerea,Oecetis,Oecetis.testacea,Orectochilus.villosus,Orthotrichia,Oulimnius.tuberculatus,Oxyethira,Pagastiella.orophila,Parachironomus,Parakiefferiella,Paramerina,Paratanytarsus,Phaenopsectra,Phryganea.bipunctata,Phryganea.grandis,Pisidium,Polycentropus.flavomaculatus,Polycentropus.irroratus,Polypedilum,Potthastia,Procladius,Psectrocladius,Pseudochironomus.prasinatus,Pseudosmittia,Radix,Radix.balthica,Sialis.lutaria,Sigara,Somatochlora.metallica,Stempellina,Stenochironomus,Stictochironomus,Synorthocladius.semivirens,Tanytarsus,Tinodes.waeneri,Tribelos,Turbellaria
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
